student_id,class_before,class_after,class_changed,conversion_stage,class_original
s112213509071,2.0,210,True,grade_year_class_pattern,2.0
s112213509073,2.0,210,True,grade_year_class_pattern,2.0
s112213509074,2.0,210,True,grade_year_class_pattern,2.0
s112213509075,2.0,210,True,grade_year_class_pattern,2.0
s112213509076,2.0,210,True,grade_year_class_pattern,2.0
s112213509077,2.0,210,True,grade_year_class_pattern,2.0
s112213509079,2.0,210,True,grade_year_class_pattern,2.0
s112213509080,2.0,210,True,grade_year_class_pattern,2.0
s112213509081,2.0,210,True,grade_year_class_pattern,2.0
s112213509027,2.0,201,True,grade_year_class_pattern,2.0
s112213509029,2.0,201,True,grade_year_class_pattern,2.0
s112213509030,2.0,201,True,grade_year_class_pattern,2.0
s112213509033,2.0,201,True,grade_year_class_pattern,2.0
s112213509034,2.0,201,True,grade_year_class_pattern,2.0
s112213509036,2.0,201,True,grade_year_class_pattern,2.0
s112213509039,2.0,201,True,grade_year_class_pattern,2.0
s112213509042,2.0,201,True,grade_year_class_pattern,2.0
s112213509044,2.0,201,True,grade_year_class_pattern,2.0
s112213509048,2.0,201,True,grade_year_class_pattern,2.0
s112213509049,2.0,201,True,grade_year_class_pattern,2.0
s112213509051,2.0,201,True,grade_year_class_pattern,2.0
s112213510024,803.0,803,False,numeric_integer,803.0
s112213510025,803.0,803,False,numeric_integer,803.0
s112213510026,803.0,803,False,numeric_integer,803.0
s112213510027,803.0,803,False,numeric_integer,803.0
s112213510028,803.0,803,False,numeric_integer,803.0
s112213510029,803.0,803,False,numeric_integer,803.0
s112213510030,803.0,803,False,numeric_integer,803.0
s112213510033,803.0,803,False,numeric_integer,803.0
s112213510034,803.0,803,False,numeric_integer,803.0
s112213510035,803.0,803,False,numeric_integer,803.0
s112213510037,803.0,803,False,numeric_integer,803.0
s112213510038,803.0,803,False,numeric_integer,803.0
s112213510039,803.0,803,False,numeric_integer,803.0
s112213510040,803.0,803,False,numeric_integer,803.0
s112213510041,803.0,803,False,numeric_integer,803.0
s112213510042,803.0,803,False,numeric_integer,803.0
s112213510043,803.0,803,False,numeric_integer,803.0
s112213510046,803.0,803,False,numeric_integer,803.0
