student_id,school_id,class,v13,nominated_seat_no,rank
s112014332059,14332,811.0,8,9,1
s112014332060,14332,811.0,9,7,1
s112014332060,14332,811.0,9,5,2
s112014332060,14332,811.0,9,31,3
s112014332060,14332,811.0,9,8,4
s112014332060,14332,811.0,9,3,5
s112014332062,14332,811.0,11,9,1
s112014332062,14332,811.0,11,17,2
s112014332062,14332,811.0,11,12,3
s112014332062,14332,811.0,11,15,4
s112014332062,14332,811.0,11,8,5
s112014332063,14332,811.0,12,31,1
s112014332063,14332,811.0,12,1,2
s112014332063,14332,811.0,12,29,3
s112014332063,14332,811.0,12,22,4
s112014332063,14332,811.0,12,5,5
s112014332064,14332,811.0,13,9,1
s112014332064,14332,811.0,13,8,2
s112014332065,14332,811.0,14,9,1
s112014332066,14332,811.0,15,9,1
s112014332068,14332,811.0,17,9,1
s112014332068,14332,811.0,17,12,2
s112014332068,14332,811.0,17,28,3
s112014332068,14332,811.0,17,14,4
s112014332068,14332,811.0,17,15,5
s112014332069,14332,811.0,18,29,3
s112014332070,14332,811.0,19,16,1
s112014332070,14332,811.0,19,17,2
s112014332070,14332,811.0,19,29,3
s112014332070,14332,811.0,19,23,4
s112014332071,14332,811.0,20,9,1
s112014332071,14332,811.0,20,14,2
s112014332071,14332,811.0,20,17,3
s112014332071,14332,811.0,20,3,4
s112014332071,14332,811.0,20,8,5
s112014332072,14332,811.0,21,9,1
s112014332072,14332,811.0,21,8,2
s112014332072,14332,811.0,21,14,3
s112014332072,14332,811.0,21,17,4
s112014332072,14332,811.0,21,12,5
s112014332075,14332,811.0,24,1,1
s112014332075,14332,811.0,24,17,2
s112014332075,14332,811.0,24,12,3
s112014332075,14332,811.0,24,23,4
s112014332075,14332,811.0,24,28,5
s112014332078,14332,811.0,27,8,1
s112014332078,14332,811.0,27,9,2
s112014332078,14332,811.0,27,12,3
s112014332078,14332,811.0,27,14,4
s112014332078,14332,811.0,27,31,5
s112014332079,14332,811.0,28,12,1
s112014332079,14332,811.0,28,9,2
s112014332079,14332,811.0,28,8,3
s112014332079,14332,811.0,28,17,4
s112014332080,14332,811.0,29,9,1
s112014332080,14332,811.0,29,26,2
s112014332080,14332,811.0,29,1,3
s112014332080,14332,811.0,29,16,4
s112014332080,14332,811.0,29,19,5
s112014332081,14332,811.0,30,3,1
s112014332081,14332,811.0,30,9,2
s112014332082,14332,811.0,31,9,1
s112014356024,14356,801.0,1,10,1
s112014356024,14356,801.0,1,11,2
s112014356024,14356,801.0,1,7,3
s112014356024,14356,801.0,1,5,4
s112014356024,14356,801.0,1,8,5
s112014356030,14356,801.0,7,14,1
s112014356030,14356,801.0,7,13,2
s112014356030,14356,801.0,7,30,3
s112014356030,14356,801.0,7,33,4
s112014356030,14356,801.0,7,1,5
s112014356031,14356,801.0,8,13,1
s112014356031,14356,801.0,8,14,2
s112014356031,14356,801.0,8,32,3
s112014356031,14356,801.0,8,1,4
s112014356031,14356,801.0,8,3,5
s112014356032,14356,801.0,9,1,1
s112014356032,14356,801.0,9,23,2
s112014356033,14356,801.0,10,52,1
s112014356033,14356,801.0,10,57,2
s112014356033,14356,801.0,10,58,3
s112014356033,14356,801.0,10,55,5
s112014356034,14356,801.0,11,1,1
s112014356034,14356,801.0,11,13,2
s112014356034,14356,801.0,11,15,3
s112014356034,14356,801.0,11,21,4
s112014356034,14356,801.0,11,30,5
s112014356036,14356,801.0,13,10,1
s112014356036,14356,801.0,13,7,2
s112014356036,14356,801.0,13,30,3
s112014356036,14356,801.0,13,33,4
s112014356036,14356,801.0,13,14,5
s112014356037,14356,801.0,15,14,1
s112014356037,14356,801.0,15,13,2
s112014356037,14356,801.0,15,30,3
s112014356037,14356,801.0,15,11,4
s112014356037,14356,801.0,15,10,5
s112014356038,14356,801.0,21,7,1
s112014356038,14356,801.0,21,13,2
s112014356038,14356,801.0,21,27,3
s112014356038,14356,801.0,21,30,4
s112014356038,14356,801.0,21,14,5
s112014356040,14356,801.0,23,1,1
s112014356040,14356,801.0,23,13,2
s112014356040,14356,801.0,23,33,3
s112014356040,14356,801.0,23,30,4
s112014356040,14356,801.0,23,29,5
s112014356041,14356,801.0,24,33,1
s112014356041,14356,801.0,24,30,2
s112014356041,14356,801.0,24,1,3
s112014356044,14356,801.0,28,1,1
s112014356044,14356,801.0,28,14,2
s112014356044,14356,801.0,28,13,3
s112014356045,14356,801.0,29,23,1
s112014356045,14356,801.0,29,14,2
s112014356046,14356,801.0,30,1,1
s112014356046,14356,801.0,30,3,2
